"name","skills","job_title","job_schedule_type","job_location","salary_year_avg","job_posted_date"
"Inclusively","confluence","Director, Data Analyst - HYBRID","Full-time","Anywhere","$189,309.00","2023-12-07 15:00:13"
"Inclusively","python","Director, Data Analyst - HYBRID","Full-time","Anywhere","$189,309.00","2023-12-07 15:00:13"
"Motional","git","Principal Data Analyst, AV Performance Analysis","Full-time","Anywhere","$189,000.00","2023-01-05 00:00:25"
"Motional","confluence","Principal Data Analyst, AV Performance Analysis","Full-time","Anywhere","$189,000.00","2023-01-05 00:00:25"
"Motional","jira","Principal Data Analyst, AV Performance Analysis","Full-time","Anywhere","$189,000.00","2023-01-05 00:00:25"
"Motional","atlassian","Principal Data Analyst, AV Performance Analysis","Full-time","Anywhere","$189,000.00","2023-01-05 00:00:25"
"Motional","bitbucket","Principal Data Analyst, AV Performance Analysis","Full-time","Anywhere","$189,000.00","2023-01-05 00:00:25"
"Motional","r","Principal Data Analyst, AV Performance Analysis","Full-time","Anywhere","$189,000.00","2023-01-05 00:00:25"
"Motional","python","Principal Data Analyst, AV Performance Analysis","Full-time","Anywhere","$189,000.00","2023-01-05 00:00:25"
"Motional","sql","Principal Data Analyst, AV Performance Analysis","Full-time","Anywhere","$189,000.00","2023-01-05 00:00:25"
"SmartAsset","gitlab","Principal Data Analyst","Full-time","Anywhere","$186,000.00","2023-07-11 16:00:05"
"SmartAsset","tableau","Principal Data Analyst","Full-time","Anywhere","$186,000.00","2023-07-11 16:00:05"
"SmartAsset","go","Principal Data Analyst","Full-time","Anywhere","$186,000.00","2023-07-11 16:00:05"
"SmartAsset","python","Principal Data Analyst","Full-time","Anywhere","$186,000.00","2023-07-11 16:00:05"
"SmartAsset","snowflake","Principal Data Analyst","Full-time","Anywhere","$186,000.00","2023-07-11 16:00:05"
"SmartAsset","sql","Principal Data Analyst","Full-time","Anywhere","$186,000.00","2023-07-11 16:00:05"
"SmartAsset","excel","Principal Data Analyst","Full-time","Anywhere","$186,000.00","2023-07-11 16:00:05"
"SmartAsset","pandas","Principal Data Analyst","Full-time","Anywhere","$186,000.00","2023-07-11 16:00:05"
"SmartAsset","numpy","Principal Data Analyst","Full-time","Anywhere","$186,000.00","2023-07-11 16:00:05"
"Patterned Learning AI","sql","Senior Data Analyst","Full-time","Anywhere","$185,000.00","2023-08-15 07:00:00"
"Patterned Learning AI","keras","Senior Data Analyst","Full-time","Anywhere","$185,000.00","2023-08-15 07:00:00"
"Patterned Learning AI","angular","Senior Data Analyst","Full-time","Anywhere","$185,000.00","2023-08-15 07:00:00"
"Patterned Learning AI","python","Senior Data Analyst","Full-time","Anywhere","$185,000.00","2023-08-15 07:00:00"
"Patterned Learning AI","flask","Senior Data Analyst","Full-time","Anywhere","$185,000.00","2023-08-15 07:00:00"
"Patterned Learning AI","aws","Senior Data Analyst","Full-time","Anywhere","$185,000.00","2023-08-15 07:00:00"
"Patterned Learning AI","fastapi","Senior Data Analyst","Full-time","Anywhere","$185,000.00","2023-08-15 07:00:00"
"Patterned Learning AI","windows","Senior Data Analyst","Full-time","Anywhere","$185,000.00","2023-08-15 07:00:00"
"Patterned Learning AI","html","Senior Data Analyst","Full-time","Anywhere","$185,000.00","2023-08-15 07:00:00"
"Patterned Learning AI","css","Senior Data Analyst","Full-time","Anywhere","$185,000.00","2023-08-15 07:00:00"
"Uber","python","Senior Applied Scientist - Delivery","Full-time","Anywhere","$184,000.00","2023-07-26 07:02:59"
"Uber","r","Senior Applied Scientist - Delivery","Full-time","Anywhere","$184,000.00","2023-07-26 07:02:59"
"Uber","sql","Senior Applied Scientist - Delivery","Full-time","Anywhere","$184,000.00","2023-07-26 07:02:59"
"Uber","sql","Sr Applied Scientist, Special Projects","Full-time","Anywhere","$184,000.00","2023-10-16 07:23:56"
"Uber","python","Sr Applied Scientist, Special Projects","Full-time","Anywhere","$184,000.00","2023-10-16 07:23:56"
"Get It Recruit - Information Technology","r","ERM Data Analyst","Full-time","Anywhere","$184,000.00","2023-06-09 08:01:04"
